cda w7 出席名單			選課名單
40523101			40523101
40523102			40523102
40523104			40523104
			40523105
40523106			40523106
40523107			40523107
40523108			40523108
			40523109
40523111			40523111
			40523112
40523113			40523113
			40523115
40523116			40523116
40523117			40523117
40523118			40523118
40523119			40523119
40523120			40523120
		40523121
40523122			40523122
40523123			40523123
40523124			40523124
			40523125
40523126			40523126
40523127			40523127
40523128			40523128
40523129			40523129
40523130			40523130
			40523131
40523132			40523132
40523133			40523133
40523134			40523134
40523135			40523135
40523136			40523136
40523137			40523137
40523138			40523138
40523139			40523139
			40523140
40523141			40523141
			40523142
40523143			40523143
			40523144
40523145			40523145
40523146			40523146
40523147			40523147
40523146			40523148
