vecp w7 出席學號		學號
40028B33		40028B33
40328410		40328410
40328421		40328421
40628401		40628401
40628402	40628402
40628403		40628403
40628404		40628404
40628405		40628405
40628406		40628406
40628407		40628407
		40628408
		40628409
40628410		40628410
40628411		40628411
40628412		40628412
40628413		40628413
40628414		40628414
40628415		40628415
40628416		40628416
40628417		40628417
40628418		40628418
		40628419
		40628420
40628421		40628421
		40628422
40628423		40628423
40628424		40628424
40628425		40628425
40628426		40628426
40628427		40628427
40628428		40628428
40628431		40628431
40628432		40628432
		40628433
40628434		40628434
40628435		40628435
40628436		40628436
40628437		40628437
40628438		40628438
40628439		40628439
40628440		40628440
40628441		40628441
40628442		40628442
		40628443
40628445		40628445
		40628446
		40628448
		40628450
		40628451
40628452		40628452
		40628453
40628454		40628454
		40628455
40628456		40628456
		40628458
